Bird.ID,Deploy.Date,Data.End.Date,Age,Sex,Wing,Mass,H.B,TAG.type,X.ray.result,Tag.code,Ringing.location,S.N,Tag.Extant,Redeployed,UHF.Code,Current.Winter.site,Accelerometer.,2012.Gos,2013.Gos,2014.Gos,2015.Gos,2016.Gos,2017.Gos,2018.Gos,2019.Gos,2020.Gos,Notes
WHIT25,05/01/2019,25/10/2019,A,F,402,2350,112,Ecotone GSM,NA,25,WEST,NA,N,N,WHI25,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,NA
WHIT26,05/01/2019,06/05/2019,A,F,417,2100,104.4,Ecotone GSM,NA,26,WEST,NA,N,N,WHI26,NA,Y,Na,Na,Na,Na,Na,Na,0,Na,Na,NA
DATI01,19/01/2019,21/01/2019,A,M,NA,NA,NA,Ecotone GSM,NA,X1X,LOSW,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,Na,0,Na,Na,NA
DATI02,17/11/2018,02/05/2019,A,M,NA,NA,NA,Ecotone GSM,NA,X2X,LOSW,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,Na,0,Na,Na,NA
DATI03,23/11/2019,03/12/2019,A,M,418,2700,123,Ecotone GSM,NA,X3X,LOSW,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,??,,NA
DATI04,19/01/2019,04/04/2020,A,M,??,??,??,Ecotone GSM,NA,X4X,LOSW,NA,N,N,NA,NA,N,Na,Na,Na,Na,Na,Na,0,0,,NA
HH,13/12/2021,27/01/2022,A,F,393,2050,105,Ornitela GSM (x2 solar),NA,HH,LOSW,190849,Y,N,NA,LOSW,Y,,,,,,,,,,
H1,13/12/2021,27/01/2022,A,F,435,2700,122,Ornitela GSM (x2 solar),NA,H1,LOSW,193091,Y,N,NA,LOSW,Y,,,,,,,,,,
H4,13/12/2021,27/01/2022,A,F,392,2250,107,Ornitela GSM (x2 solar),NA,H4,LOSW,193093,Y,N,NA,LOSW,Y,,,,,,,,,,
H0,13/12/2021,27/01/2022,A,F,400,2300,103,Ornitela GSM (x2 solar),NA,H0,LOSW,193097,Y,N,NA,LOSW,Y,,,,,,,,,,
A9,23/01/2020,27/01/2022,A,F,NA,2700,NA,Ornitela GSM (x2 solar),2,A9,WEXF,17799,Y,N,NA,Wexford,Y,0,Na,4,0,0,0,0,4,,"RETRAP: Previously S0A (27/09/2005, Hvanneyri, Y, F)"
HA,23/01/2020,26/03/2020,A,F,426,2675,107,Ornitela GSM (x2 solar),1,HA,WEXF,17808,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,??,,NA
HS,23/01/2020,27/01/2022,A,F,427,2525,109,Ornitela GSM (x2 solar),0,HS,WEXF,190845,Y,N,NA,Wexford,Y,Na,Na,Na,Na,Na,Na,Na,4,,NA
A6,23/11/2019,03/12/2019,A,F,408,2550,108,Ornitela GSM (x2 solar),NA,A6,LOSW,17756,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,Na,??,,NA
A3,23/11/2019,28/06/2021,A,F,410,2400,108,Ornitela GSM (x2 solar),NA,A3,LOSW,17783,Y,N,NA,Ronnachmore,Y,Na,Na,Na,Na,Na,Na,Na,??,0,NA
HN,23/11/2019,27/01/2022,A,F,405,2550,106,Ornitela GSM (x2 solar),NA,HN,LOSW,190839,Y,N,NA,Loch Swilly,Y,Na,Na,Na,Na,Na,Na,Na,??,,NA
HL,23/11/2019,27/01/2022,A,F,411,2450,111,Ornitela GSM (x2 solar),NA,HL,LOSW,190842,Y,N,NA,Loch Swilly,Y,Na,Na,Na,Na,Na,Na,Na,2,,NA
HJ,23/11/2019,26/12/2020,A,F,421,2550,108,Ornitela GSM (x2 solar),NA,HJ,LOSW,190850,Y,N,NA,Loch Swilly,Y,Na,Na,Na,Na,Na,Na,Na,??,,NA
A1,14/02/2019,05/04/2020,A,F,408,2350,106,Ornitela GSM (x2 solar),0,A1,WEXF,17700,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,??,,NA
AV,14/02/2019,27/01/2022,A,F,415,2500,111,Ornitela GSM (x2 solar),0,AV,WEXF,17739,Y,N,NA,Wexford,Y,Na,Na,Na,Na,Na,Na,??,0,,NA
AY,14/02/2019,10/04/2020,A,F,423,2550,107,Ornitela GSM (x2 solar),3,AY,WEXF,17771,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,??,,NA
AX,14/02/2019,22/10/2019,A,F,418,2800,110,Ornitela GSM (x2 solar),0,AX,WEXF,17804,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,??,,NA
AP,20/11/2018,02/05/2019,A,F,417,2450,111,Ornitela GSM (x2 solar),NA,AP,LIRO,17757,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,??,Na,Na,NA
AS,20/11/2018,27/01/2022,A,F,423,2350,106,Ornitela GSM (x2 solar),NA,AS,LIRO,17760,Y,N,NA,Connemara,Y,Na,Na,Na,Na,Na,Na,0,??,,NA
AJ,20/11/2018,02/05/2021,A,F,405,2250,105,Ornitela GSM (x2 solar),NA,AJ,LIRO,17764,Y,N,NA,Lough Iron,Y,Na,Na,Na,Na,Na,Na,??,??,,NA
AL,20/11/2018,27/01/2022,A,F,403,2650,112,Ornitela GSM (x2 solar),NA,AL,LIRO,17795,Y,N,NA,Tiree,Y,Na,Na,Na,Na,Na,Na,??,0,0,NA
AN,20/11/2018,01/10/2020,A,F,432,2550,111,Ornitela GSM (x2 solar),NA,AN,LIRO,17809.1,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,0,??,,NA
AH,13/11/2018,27/01/2022,A,F,403,2250,108,Ornitela GSM (x2 solar),NA,AH,SESK,17765,Y,N,NA,Kilclooney,Y,Na,Na,Na,Na,Na,Na,??,??,,NA
AA,13/11/2018,05/04/2020,A,F,412,2250,105,Ornitela GSM (x2 solar),NA,AA,SESK,17805,N,N,NA,NA,Y,Na,Na,Na,Na,Na,Na,??,??,,NA
O1,24/02/2018,06/05/2020,A,F,410,2600,105,Ornitela GSM (x2 solar),NA,NA,WEXF,17762,N,N,NA,NA,Y,Na,Na,Na,Na,Na,??,??,??,,NA
O4,24/02/2018,03/05/2019,A,F,391,2050,108,Ornitela GSM (x2 solar),NA,NA,WEXF,17763,N,N,NA,NA,Y,Na,Na,Na,Na,Na,??,1,Na,Na,NA
O2,24/02/2018,07/05/2018,A,F,415,2900,110,Ornitela GSM (x2 solar),NA,NA,WEXF,17767,N,N,NA,NA,Y,Na,Na,Na,Na,Na,??,??,Na,Na,NA
O3,24/02/2018,18/11/2018,A,F,412,2550,106,Ornitela GSM (x2 solar),NA,NA,WEXF,17768,N,N,NA,NA,Y,Na,Na,Na,Na,Na,??,??,Na,Na,NA
