tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep_aut,Ice_arrive_aut
190845_2021,2021-03-30,2021-04-02,2021,190845,2021-05-04,2021-05-05,2021-09-02,2021-09-07
190850_2020,2020-04-09,2020-04-11,2020,190850,2020-05-06,2020-05-08,2020-09-08,2020-09-14
193086_2020,2020-04-13,2020-04-14,2020,193086,NA,NA,NA,NA
193087_2020,2020-04-07,2020-04-12,2020,193087,NA,NA,NA,NA
193088_2020,2020-04-13,2020-04-14,2020,193088,NA,NA,NA,NA
193089_2021,2021-03-31,2021-04-02,2021,193089,2021-05-01,2021-05-03,2021-09-02,2021-09-04
193090_2021,2021-04-02,2021-04-08,2021,193090,NA,NA,NA,NA
BLO09_2015,2015-04-08,2015-04-10,2015,BLO09,2015-05-07,2015-05-08,2015-09-20,2015-09-21
BLO19_2015,2015-04-08,2015-04-09,2015,BLO19,2015-05-10,2015-05-12,2015-09-14,2015-09-15
BLO22_2014,2014-04-20,2014-04-23,2014,BLO22,2014-05-10,2014-05-14,2014-09-07,2014-09-11
BLO27_2014,2014-04-11,2014-04-12,2014,BLO27,2014-05-02,2014-05-05,2014-09-08,2014-09-10
BLO28_2015,2015-04-13,2015-04-15,2015,BLO28,2015-05-09,2015-05-12,2015-09-13,2015-09-15
BLO29_2015,2015-04-13,2015-04-14,2015,BLO29,2015-05-06,2015-05-08,2015-09-21,2015-09-21
BLO29_2016,2016-04-13,2016-04-15,2016,BLO29,2016-05-07,2016-05-09,2016-09-16,2016-09-18
BLO29_2017,2017-04-08,2017-04-09,2017,BLO29,2017-05-04,2017-05-06,2017-09-18,2017-09-20
CLEG04_2018,2018-04-18,2018-04-20,2018,CLEG04,2018-05-08,2018-05-09,2018-09-18,2018-09-19
CLEG04_2019,2019-04-08,2019-04-09,2019,CLEG04,NA,NA,2019-09-14,2019-09-15
CLEG04_2020,2020-04-13,2020-04-14,2020,CLEG04,2020-05-06,2020-05-08,2020-09-08,2020-09-09
CLEG04_2021,2021-04-12,2021-04-12,2021,CLEG04,2021-05-02,2021-05-03,2021-09-10,2021-09-10
CLEG05_2018,2018-04-14,2018-04-15,2018,CLEG05,2018-05-07,2018-05-11,2018-09-13,2018-09-16
DATI02_2019,2019-03-30,2019-04-01,2019,DATI02,NA,NA,NA,NA
DATI04_2019,2019-03-31,2019-04-01,2019,DATI04,2019-05-02,2019-05-04,2019-09-03,2019-09-06
DATI04_2020,2020-03-25,2020-03-26,2020,DATI04,NA,NA,NA,NA
ETA12_2014,2014-04-15,2014-04-16,2014,ETA12,2014-05-01,2014-05-03,NA,NA
