tag_year,mig_start,mig_end,duration,total_ODBA
HAR27_2016,2016-05-02T06:20:00Z,2016-05-04T06:33:00Z,48.2166666666667,NA
HAR27_2017,2017-05-04T13:41:00Z,2017-05-07T10:54:00Z,69.2166666666667,NA
LAR17_2014,2014-05-01T05:06:00Z,2014-05-02T06:09:00Z,25.05,NA
LAR17_2015,2015-05-06T09:09:00Z,2015-05-08T05:08:00Z,43.9833333333333,NA
PIFO10_2018,2018-05-09T00:02:03Z,2018-05-10T12:00:08Z,35.9680555555556,NA
PIFO30.2_2019,2019-05-05T03:00:00Z,2019-05-06T21:00:00Z,42,1746.6994947916667
PIFO47_2019,2019-05-07T04:01:00Z,2019-05-09T19:02:00Z,63.0166666666667,1944.3785520833335
UCOL04_2013,2013-05-07T03:00:00Z,2013-05-09T21:00:00Z,66,NA
UCOL20.1_2014,2014-05-02T00:00:27Z,2014-05-04T00:00:26Z,47.9997222222222,NA
UCOL20.2_2015,2015-05-10T18:00:00Z,2015-05-12T00:00:00Z,30,NA
UCOL20.2_2016,2016-05-04T00:00:00Z,2016-05-07T00:00:00Z,72,NA
UCOL24_2015,2015-05-10T18:00:00Z,2015-05-12T00:00:00Z,30,NA
UCOL25_2015,2015-05-04T03:00:00Z,2015-05-06T03:00:00Z,48,NA
UCOL31_2018,2018-05-02T03:00:00Z,2018-05-04T03:00:00Z,48,1949.5705546875
UCOL31_2019,2019-05-03T03:00:00Z,2019-05-05T00:00:00Z,45,1508.3470651041666
UCOL33_2017,2017-05-06T03:00:00Z,2017-05-08T05:00:00Z,50,2509.34575
UCOL35_2019,2019-05-05T05:04:00Z,2019-05-06T18:00:00Z,36.9333333333333,1548.3417473958334
UCOL37_2019,2019-05-03T03:00:00Z,2019-05-04T22:10:00Z,43.1666666666667,1744.2006158854167
UCOL40_2019,2019-05-03T16:10:00Z,2019-05-07T05:04:00Z,84.9,2045.74522265625
WHIT01_2017,2017-05-04T06:00:57Z,2017-05-06T00:02:08Z,42.0197222222222,NA
WHIT02_2017,2017-05-01T00:01:04Z,2017-05-06T06:00:20Z,125.987777777778,NA
WHIT02_2018,2018-05-08T06:00:34Z,2018-05-09T21:00:15Z,38.9947222222222,NA
WHIT02_2019,2019-05-05T03:00:34Z,2019-05-06T21:00:34Z,42,NA
WHIT03_2017,2017-05-01T00:01:00Z,2017-05-06T03:00:00Z,122.983333333333,NA
WHIT03_2018,2018-05-02T07:01:00Z,2018-05-04T07:00:00Z,47.9833333333333,1743.1521979166666
WHIT07_2017,2017-05-04T00:02:00Z,2017-05-06T22:01:00Z,69.9833333333333,NA
WHIT09_2017,2017-05-06T05:01:00Z,2017-05-07T05:01:00Z,24,1599.92535546875
WHIT09_2018,2018-05-09T15:00:23Z,2018-05-11T12:01:04Z,45.0113888888889,NA
WHIT09_2019,2019-05-07T03:00:18Z,2019-05-10T03:00:43Z,72.0069444444444,NA
WHIT10_2017,2017-05-07T00:00:57Z,2017-05-08T00:01:30Z,24.0091666666667,NA
WHIT10_2018,2018-05-08T12:00:24Z,2018-05-10T00:01:01Z,36.0102777777778,NA
WHIT10_2019,2019-05-05T03:00:31Z,2019-05-07T00:01:25Z,45.015,NA
WHIT12_2017,2017-05-04T00:02:00Z,2017-05-08T18:00:00Z,113.966666666667,3942.6886119791666
WHIT12_2018,2018-05-02T07:30:00Z,2018-05-05T06:00:00Z,70.5,3184.8538502604165
WHIT12_2019,2019-05-03T03:00:00Z,2019-05-04T21:00:00Z,42,1735.0340494791667
WHIT15_2017,2017-05-04T05:02:00Z,2017-05-07T00:01:00Z,66.9833333333333,2080.7572799479167
WHIT16_2018,2018-05-09T21:04:01Z,2018-05-11T00:01:01Z,26.95,NA
WHIT16_2019,2019-05-03T04:32:00Z,2019-05-04T02:41:00Z,22.15,1365.0209049479167
WHIT17_2018,2018-05-09T12:40:00Z,2018-05-10T21:00:00Z,32.3333333333333,1071.2479388020834
WHIT17_2019,2019-05-05T09:36:00Z,2019-05-06T22:29:00Z,36.8833333333333,1512.8236276041666
WHIT18_2018,2018-05-09T03:00:00Z,2018-05-10T21:00:00Z,42,NA
WHIT19_2018,2018-05-09T03:00:00Z,2018-05-10T21:01:00Z,42.0166666666667,NA
WHIT19_2019,2019-05-05T21:00:00Z,2019-05-08T02:02:00Z,53.0333333333333,2375.9605234375
WHIT20_2018,2018-05-09T03:00:00Z,2018-05-12T10:49:00Z,79.8166666666667,2045.2713229166666
WHIT21_2018,2018-05-08T11:48:00Z,2018-05-09T21:00:00Z,33.2,1518.14816796875
WHIT21_2019,2019-05-03T04:32:00Z,2019-05-04T18:02:00Z,37.5,1365.6279075520833
WHIT22_2019,2019-05-05T20:05:00Z,2019-05-08T15:37:00Z,67.5333333333333,2484.6637604166667
WHIT24_2018,2018-05-08T06:00:00Z,2018-05-11T00:01:00Z,66.0166666666667,2564.2628919270833
WHIT25_2019,2019-05-05T04:32:00Z,2019-05-06T17:11:00Z,36.65,1360.9507604166668
WHIT26_2019,2019-05-03T03:00:00Z,2019-05-04T07:38:00Z,28.6333333333333,1931.3014778645834
