Tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length
190295.2_2020,2020-04-04,2020-04-06,2020,190295.2,2020-05-02,2020-05-06,2020-09-02,2020-06-01,2020-06-23,23,26
190839_2020,2020-04-09,2020-04-11,2020,190839,2020-05-08,2020-05-09,2020-08-31,NA,NA,0,NA
190839_2021,2021-03-30,2021-04-02,2021,190839,2021-05-05,2021-05-07,2021-09-06,2021-05-21,2021-06-04,15,14
190842_2020,2020-03-29,2020-03-30,2020,190842,2020-05-02,2020-05-05,2020-09-07,2020-05-25,2020-06-20,27,20
190842_2021,2021-04-01,2021-04-02,2021,190842,2021-04-30,2021-05-02,2021-09-03,2021-06-02,2021-06-10,9,31
190845_2021,2021-03-30,2021-04-02,2021,190845,2021-05-04,2021-05-05,2021-09-02,2021-06-05,2021-07-01,27,31
190850_2020,2020-04-09,2020-04-11,2020,190850,2020-05-06,2020-05-08,2020-09-08,NA,NA,0,NA
193089_2021,2021-03-31,2021-04-02,2021,193089,2021-05-01,2021-05-03,2021-09-02,2021-05-24,2021-06-02,10,21
UCOL31_2018,2018-04-11,2018-04-12,2018,UCOL31,2018-05-02,2018-05-04,2018-09-13,NA,NA,0,NA
UCOL31_2020,2020-04-04,2020-04-06,2020,UCOL31,2020-05-03,2020-05-07,2020-09-13,2020-06-01,2020-06-17,17,25
WHIT09_2017,2017-04-16,2017-04-16,2017,WHIT09,2017-05-06,2017-05-07,2017-09-11,NA,NA,0,NA
WHIT12_2018,2018-04-15,2018-04-15,2018,WHIT12,2018-05-02,2018-05-05,2018-09-11,NA,NA,0,NA
WHIT12_2019,2019-04-07,2019-04-08,2019,WHIT12,2019-05-03,2019-05-04,2019-09-05,2019-05-20,2019-06-01,13,16
WHIT15_2017,2017-04-14,2017-04-15,2017,WHIT15,2017-05-04,2017-05-06,2017-09-03,2017-05-25,2017-05-28,4,19
WHIT16_2019,2019-03-31,2019-04-02,2019,WHIT16,2019-05-03,2019-05-04,2019-09-06,2019-05-18,2019-05-31,14,14
WHIT16_2020,2020-04-13,2020-04-14,2020,WHIT16,2020-05-07,2020-05-08,2020-09-07,2020-05-22,2020-06-16,26,14
WHIT17_2018,2018-04-15,2018-04-15,2018,WHIT17,2018-05-09,2018-05-10,2018-09-14,2018-06-07,2018-06-17,11,28
WHIT17_2020,2020-04-10,2020-04-12,2020,WHIT17,2020-05-06,2020-05-08,2020-09-07,2020-05-25,2020-06-04,11,17
WHIT19_2019,2019-04-08,2019-04-09,2019,WHIT19,2019-05-05,2019-05-07,2019-09-06,2019-05-28,2019-06-07,11,21
WHIT21_2018,2018-04-12,2018-04-13,2018,WHIT21,2018-05-07,2018-05-09,2018-09-19,2018-06-10,2018-06-30,21,32
WHIT21_2019,2019-03-31,2019-04-02,2019,WHIT21,2019-05-03,2019-05-04,2019-09-13,2019-05-26,2019-06-10,16,22
WHIT21_2020,2020-04-13,2020-04-16,2020,WHIT21,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA
17807_2020,2020-04-20,2020-04-21,2020,17807,2020-05-02,2020-05-06,2020-09-01,2020-05-25,2020-05-31,7,19
17761_2020,NA,NA,2020,17761,2020-05-06,2020-05-08,2020-09-09,2020-05-26,2020-06-22,28,18
190291_2021,NA,NA,2021,190291,2021-05-01,2021-05-02,2021-09-11,2021-06-03,2021-06-30,28,32
WHIT03_2018,NA,NA,2018,WHIT03,2018-05-02,2018-05-04,2018-09-13,2018-06-09,2018-06-09,1,36
WHIT20_2018,NA,NA,2018,WHIT20,2018-05-09,2018-05-14,2018-09-15,2018-06-09,2018-06-30,22,26
WHIT22_2020,NA,NA,2020,WHIT22,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA
WHIT24_2018,NA,NA,2018,WHIT24,2018-05-08,2018-05-10,2018-09-18,NA,NA,0,NA
WHIT25_2019,NA,NA,2019,WHIT25,2019-05-05,2019-05-06,2019-09-06,2019-06-05,2019-06-09,5,30
UCOL31_2019,NA,NA,2019,UCOL31,2019-05-03,2019-05-05,2019-09-10,NA,NA,0,NA
