Tag_year,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length,attempt,success24,staging_length,Age,Mass,Sex,Ringing.location,prev_success,breeding_lat,breeding_long,Green_centre,laying_centre,failure_centre
WHIT17_2020,2020-04-12,2020,WHIT17,2020-05-06,2020-05-08,2020-09-07,2020-05-25,2020-06-04,11,17,1,0,24,A,2400,F,ISLA,1,68.140567,-50.613867,1,-0.5,-7.5
WHIT19_2019,2019-04-09,2019,WHIT19,2019-05-05,2019-05-07,2019-09-06,2019-05-28,2019-06-07,11,21,1,0,26,A,2375,F,ISLA,1,67.629217,-50.951367,1,4,1
WHIT21_2018,2018-04-13,2018,WHIT21,2018-05-07,2018-05-09,2018-09-19,2018-06-10,2018-06-30,21,32,1,0,24,A,2250,F,ISLA,1,67.701283,-53.371583,-1,1,7
WHIT21_2019,2019-04-02,2019,WHIT21,2019-05-03,2019-05-04,2019-09-13,2019-05-26,2019-06-10,16,22,1,0,31,A,2250,F,ISLA,1,67.7012,-53.3677415,-2,2,4
WHIT21_2020,2020-04-16,2020,WHIT21,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA,0,NA,22,A,2250,F,ISLA,1,NA,NA,2,NA,NA
17807_2020,2020-04-21,2020,17807,2020-05-02,2020-05-06,2020-09-01,2020-05-25,2020-05-31,7,19,1,0,11,A,2300,F,ISLA,1,66.594711,-50.190742,-1,-0.5,-11.5
17761_2020,NA,2020,17761,2020-05-06,2020-05-08,2020-09-09,2020-05-26,2020-06-22,28,18,1,1,NA,A,2400,F,ISLA,1,67.085396,-52.529934,1,0.5,10.5
190291_2021,NA,2021,190291,2021-05-01,2021-05-02,2021-09-11,2021-06-03,2021-06-30,28,32,1,1,NA,A,2425,F,ISLA,0,67.026146,-51.982727,-1.5,4,20
WHIT03_2018,NA,2018,WHIT03,2018-05-02,2018-05-04,2018-09-13,2018-06-09,2018-06-09,1,36,1,0,NA,A,2550,F,ISLA,1,NA,NA,-6,0,-14
WHIT20_2018,NA,2018,WHIT20,2018-05-09,2018-05-14,2018-09-15,2018-06-09,2018-06-30,22,26,1,0,NA,A,2100,F,ISLA,1,67.383783,-53.4563,4,0,7
WHIT22_2020,NA,2020,WHIT22,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA,0,NA,NA,A,2425,F,ISLA,1,NA,NA,2,NA,NA
WHIT24_2018,NA,2018,WHIT24,2018-05-08,2018-05-10,2018-09-18,NA,NA,0,NA,0,NA,NA,A,2350,F,ISLA,1,NA,NA,0,NA,NA
WHIT25_2019,NA,2019,WHIT25,2019-05-05,2019-05-06,2019-09-06,2019-06-05,2019-06-09,5,30,1,0,NA,A,2350,F,WEST,1,68.601383,-50.561217,0,12,3
UCOL31_2019,NA,2019,UCOL31,2019-05-03,2019-05-05,2019-09-10,NA,NA,0,NA,0,NA,NA,A,2350,F,ISLA,1,NA,NA,-1,NA,NA
