Tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length
WHIT19_2019,2019-04-08,2019-04-09,2019,WHIT19,2019-05-05,2019-05-07,2019-09-06,2019-05-26,2019-06-07,13,19
WHIT21_2018,2018-04-12,2018-04-13,2018,WHIT21,2018-05-07,2018-05-09,2018-09-19,2018-06-10,2018-06-25,16,32
WHIT21_2019,2019-03-31,2019-04-02,2019,WHIT21,2019-05-03,2019-05-04,2019-09-13,2019-05-24,2019-06-10,18,20
WHIT21_2020,2020-04-13,2020-04-16,2020,WHIT21,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA
17807_2020,2020-04-20,2020-04-21,2020,17807,2020-05-02,2020-05-06,2020-09-01,2020-05-25,2020-06-02,9,19
17761_2020,NA,NA,2020,17761,2020-05-06,2020-05-08,2020-09-09,2020-05-25,2020-06-22,29,17
190291_2021,NA,NA,2021,190291,2021-05-01,2021-05-02,2021-09-11,2021-06-01,2021-07-01,31,30
PIFO32_2020,NA,NA,2020,PIFO32,2020-05-06,2020-05-08,2020-09-01,NA,NA,0,NA
WHIT03_2018,NA,NA,2018,WHIT03,2018-05-02,2018-05-04,2018-09-13,2018-06-07,2018-06-12,6,34
WHIT20_2018,NA,NA,2018,WHIT20,2018-05-09,2018-05-14,2018-09-15,2018-06-08,2018-06-28,21,25
WHIT22_2020,NA,NA,2020,WHIT22,2020-05-08,2020-05-09,2020-09-07,NA,NA,0,NA
WHIT24_2018,NA,NA,2018,WHIT24,2018-05-08,2018-05-10,2018-09-18,NA,NA,0,NA
WHIT25_2019,NA,NA,2019,WHIT25,2019-05-05,2019-05-06,2019-09-06,2019-05-22,2019-06-02,12,16
UCOL31_2019,NA,NA,2019,UCOL31,2019-05-03,2019-05-05,2019-09-10,NA,NA,0,NA
